RSO Name,Request Description,Type,Requested,Final Allocation
Hong Kong Student Association,HKSA Winter Quarter Welcome Dimsum,Event,798.5,798.5
American Medical Student Association,Pritzker Formal 2026,Event,23157.75,13000.0
Midwave Radio,Frostpunk,Event,1806.46,1206.46
Cana,Veritas Weekend 2026,Travel,1490.7,1490.7
OUTPatient,"OUTPatient ""Lunch and Learn",Event,200.0,200.0
Rural Student Alliance,PBR Travel Expenses,Travel,939.8,0.0
Rural Student Alliance,Ice Skating,Event,199.98,199.98
Dear Asian Youth,Winter Quarter Project,Event,820.0,620.0
Hindu Sangam,Maha Shivaratri Concert and Puja,Event,900.0,800.0
Muslim Students Association,Quran Club Meals,Other,2609.28,1057.21
Outdoor Adventure Club,OAC Ski/Snowboarding Trip (+ Lessons for First-Time Skiers!),Event,4378.42,3703.42
UChicago Bhangra,Naach Augusta Bhangra Competition,Travel,6685.0,5017.0
Game Music Ensemble,Winter Concert,Event,1647.0,1621.4
Black Student Fellowship,Week 5 Prayer and Worship Night,Event,167.96,167.96
Jade Chinese Music Ensemble,Tango Workshop featuring Guest Musician Shinjoo Cho,Event,2015.0,1360.0
Asian Pacific American Medical Students Association,Funding Request for 2026 APAMSA National Conference,Travel,6157.4,5200.0
Paul Douglas Institute,PDI Winter Symposium,Event,1111.0,791.0
Asian Policy Forum,Asian New Year Celebration 2026 (Lunar New Year and Nowruz),Event,5500.0,2000.0
Delta Sigma Pi Professional Business Fraternity- Alpha Psi Chapter,North Central LEAD Provincial Conference 2026,Event,5050.0,0.0
Sliced Bread,Spring 2026 Sliced Bread Literature Magazine Printing,Publication,1800.0,1800.0
TAMID Group,TA-MIDway Skating: Learn about TAMID,Event,1317.0,1257.0
Organization of Black Students,Funding Request for Black Conference 2026,Event,2500.0,1600.0
Meditation and Buddhist Groups of UChicago,Finding the Stillness Within,Event,525.0,0.0
Meditation and Buddhist Groups of UChicago,Chan/Zen Beginner’s Meditation Class with Iris Wang,Event,918.0,676.0
Graduate Christian Fellowship,Year-End BBQ,Event,425.0,0.0
Dirt Red Brass Band,Mixer and Bag,Capital,147.89,0.0
Dirt Red Brass Band,Speaker,Capital,796.0,475.63
Dirt Red Brass Band,Request Title Music & Service: Dirt Red Brass Band in New Orleans 2026,Travel,8127.65,2242.85
Voices in Your Head,Boston Sings [Boss] A Capella Event,Travel,8734.12,3255.06
